Task4,1000000,1,21,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task4,1000000,4,84,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000,1,0,1000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000,4,109,1000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,10000000,1,96,10000000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,10000000,4,150,10264351Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task3,1000,1,2,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task3,1000,1,2,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task3,1000,4,63,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task3,10000000,1,192,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task3,10000000,1,239,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task3,10000000,4,141,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000000,1,11,1000000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000000,4,55,1000000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000000,1,10,1000000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000000,4,97,1000000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000000,1,14,1000000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000000,4,142,1000000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000000,1,15,1000000Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task1,1000000,4,137,1174734Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task3,1000000,1,22,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task3,1000000,1,29,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task3,1000000,4,66,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task4,1000000,1,21,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task4,1000000,4,69,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task4,101,1,0,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task4,101,4,77,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
Task4,10000000,1,181,0Microsoft Windows NT 10.0.19044.0,AMD64,AMD64 Family 21 Model 112 Stepping 0, AuthenticAMD,2
